LocusTag	GeneID	Symbol	Description
YFR053C	850614	HXK1	Hexokinase isoenzyme 1, a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves the hexokinase Hxk2p
YFR055W	850616	IRC7	Irc7p
YFR057W	850618	YFR057W	Putative protein of unknown function
YLL040C	850619	VPS13	Protein of unknown function; heterooligomeric or homooligomeric complex; peripherally associated with membranes; homologous to human COH1; involved in sporulation, vacuolar protein sorting and protein-Golgi retention
YLL039C	850620	UBI4	Ubi4p
YLL038C	850621	ENT4	Ent4p
YLL036C	850623	PRP19	Prp19p
YLL035W	850624	GRC3	Grc3p
YLL034C	850625	RIX7	Putative ATPase of the AAA family, required for export of pre-ribosomal large subunits from the nucleus; distributed between the nucleolus, nucleoplasm, and nuclear periphery depending on growth conditions
YLL033W	850626	IRC19	Irc19p
YLL032C	850627	YLL032C	Protein of unknown function that may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLL032C is not an essential gene
YLL031C	850628	GPI13	ER membrane localized phosphoryltransferase that adds phosphoethanolamine onto the third mannose residue of the glycosylphosphatidylinositol (GPI) anchor precursor; similar to human PIG-O protein
YLL029W	850630	RUP2	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLL029W is not an essential gene but mutant is defective in spore formation
YLL028W	850631	TPO1	Polyamine transporter that recognizes spermine, putrescine, and spermidine; catalyzes uptake of polyamines at alkaline pH and excretion at acidic pH; phosphorylation enhances activity and sorting to the plasma membrane
YLL027W	850632	ISA1	Isa1p
YLL026W	850633	HSP104	Heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins; responsive to stresses including: heat, ethanol, and sodium arsenite; involved in [PSI+] propagation
TP(UGG)L	850634	TP(UGG)L	tRNA
YLL025W	850635	PAU17	Pau17p
YLL024C	850636	SSA2	ATP binding protein involved in protein folding and vacuolar import of proteins; member of heat shock protein 70 (HSP70) family; associated with the chaperonin-containing T-complex; present in the cytoplasm, vacuolar membrane and cell wall
YLL023C	850637	YLL023C	Protein of unknown function; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum
YLL022C	850638	HIF1	Hif1p
YLL021W	850639	SPA2	Component of the polarisome, which functions in actin cytoskeletal organization during polarized growth; acts as a scaffold for Mkk1p and Mpk1p cell wall integrity signaling components; potential Cdc28p substrate
YLL019C	850641	KNS1	Kns1p
YLL018C-A	850642	COX19	Cox19p
YLL018C	850643	DPS1	Cytoplasmic aspartyl-tRNA synthetase, homodimeric enzyme that catalyzes the specific aspartylation of tRNA(Asp); class II aminoacyl tRNA synthetase; binding to its own mRNA may confer autoregulation
YLL016W	850644	SDC25	pseudo
YLL015W	850645	BPT1	ABC type transmembrane transporter of MRP/CFTR family, found in vacuolar membrane, involved in the transport of unconjugated bilirubin and in heavy metal detoxification via glutathione conjugates, along with Ycf1p
YLL014W	850646	YLL014W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YLL014W is not an essential gene
YLL013C	850647	PUF3	Protein of the mitochondrial outer surface, links the Arp2/3 complex with the mitochore during anterograde mitochondrial movement; also binds to and promotes degradation of mRNAs for select nuclear-encoded mitochondrial proteins
YLL012W	850648	YEH1	Steryl ester hydrolase, one of three gene products (Yeh1p, Yeh2p, Tgl1p) responsible for steryl ester hydrolase activity and involved in sterol homeostasis; localized to lipid particle membranes
YLL011W	850649	SOF1	Essential protein required for biogenesis of 40S (small) ribosomal subunit; has similarity to the beta subunit of trimeric G-proteins and the splicing factor Prp4p
YLL010C	850650	PSR1	Plasma membrane associated protein phosphatase involved in the general stress response; required along with binding partner Whi2p for full activation of STRE-mediated gene expression, possibly through dephosphorylation of Msn2p
YLL009C	850651	COX17	Copper metallochaperone that transfers copper to Sco1p and Cox11p for eventual delivery to cytochrome c oxidase
YLL008W	850652	DRS1	Drs1p
YLL007C	850653	YLL007C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YLL007C is not an essential gene
YLL006W	850654	MMM1	Mitochondrial outer membrane protein, component of the Mdm10-Mdm12-Mmm1 complex involved in import and assembly of outer membrane beta-barrel proteins
YLL005C	850655	SPO75	Meiosis-specific protein of unknown function, required for spore wall formation during sporulation; dispensable for both nuclear divisions during meiosis
YLL004W	850656	ORC3	Orc3p
YLL003W	850657	SFI1	Centrin (Cdc31p)-binding protein required for spindle pole body (SPB) duplication, localizes to the half-bridge of the SPB, required for progression through G(2)-M transition, has similarity to Xenopus laevis XCAP-C
YLL002W	850658	RTT109	Histone acetyltransferase critical for cell survival in the presence of DNA damage during S phase, acetylates H3-K56; plays a role in regulation of Ty1 transposition
YLL067C	850659	YLL067C	Putative protein of unknown function with similarity to helicases
YLL066C	850660	YLL066C	Putative protein of unknown function with similarity to helicases; YLL066C is not an essential gene
YLL064C	850662	PAU18	Pau18p
YLL063C	850663	AYT1	Acetyltransferase; catalyzes trichothecene 3-O-acetylation, suggesting a possible role in trichothecene biosynthesis
YLL062C	850664	MHT1	Mht1p
YLL061W	850665	MMP1	High-affinity S-methylmethionine permease, required for utilization of S-methylmethionine as a sulfur source; has similarity to S-adenosylmethionine permease Sam3p
YLL060C	850666	GTT2	Glutathione S-transferase capable of homodimerization; functional overlap with Gtt2p, Grx1p, and Grx2p
YLL058W	850668	YLL058W	Putative protein of unknown function with similarity to Str2p, which is a cystathionine gamma-synthase important in sulfur metabolism; YLL058W is not an essential gene
YLL057C	850669	JLP1	Fe(II)-dependent sulfonate/alpha-ketoglutarate dioxygenase, involved in sulfonate catabolism for use as a sulfur source, contains sequence that closely resembles a J domain (typified by the E. coli DnaJ protein)
YLL056C	850670	YLL056C	Putative protein of unknown function, transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in pleiotropic drug resistance (PDR) phenomenon; YLL056C is not an essential gene
YLL055W	850671	YCT1	High-affinity cysteine-specific transporter with similarity to the Dal5p family of transporters; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; YCT1 is not an essential gene
YLL054C	850672	YLL054C	Putative protein of unknown function with similarity to Pip2p, an oleate-specific transcriptional activator of peroxisome proliferation; YLL054C is not an essential gene
YLL053C	850673	YLL053C	Putative protein; in the Sigma 1278B strain background YLL053C is contiguous with AQY2 which encodes an aquaporin
YLL052C	850674	AQY2	Aqy2p
YLL051C	850675	FRE6	Fre6p
YLL050C	850676	COF1	Cof1p
YLL049W	850677	LDB18	Ldb18p
YLL048C	850678	YBT1	Transporter of the ATP-binding cassette (ABC) family involved in bile acid transport; similar to mammalian bile transporters
YLL046C	850680	RNP1	Ribonucleoprotein that contains two RNA recognition motifs (RRM)
YLL045C	850682	RPL8B	Ribosomal protein L4 of the large (60S) ribosomal subunit, nearly identical to Rpl8Ap and has similarity to rat L7a ribosomal protein; mutation results in decreased amounts of free 60S subunits
YLL043W	850683	FPS1	Fps1p
YLL042C	850684	ATG10	Atg10p
YLL041C	850685	SDH2	Iron-sulfur protein subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p), which couples the oxidation of succinate to the transfer of electrons to ubiquinone
YLL001W	850686	DNM1	Dnm1p
YLR001C	850687	YLR001C	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YLR001C is not an essential gene
YLR002C	850688	NOC3	Noc3p
YLR003C	850689	YLR003C	Putative protein of unknown function that may participate in DNA replication; green fluorescent protein (GFP)-fusion protein is localized to the nucleus; YLR003C is not an essential gene
YLR004C	850690	THI73	Putative plasma membrane permease proposed to be involved in carboxylic acid uptake and repressed by thiamine; substrate of Dbf2p/Mob1p kinase; transcription is altered if mitochondrial dysfunction occurs
YLR005W	850691	SSL1	Component of the core form of RNA polymerase transcription factor TFIIH, which has both protein kinase and DNA-dependent ATPase/helicase activities and is essential for transcription and nucleotide excision repair; interacts with Tfb4p
YLR006C	850692	SSK1	Cytoplasmic response regulator, part of a two-component signal transducer that mediates osmosensing via a phosphorelay mechanism; dephosphorylated form is degraded by the ubiquitin-proteasome system; potential Cdc28p substrate
YLR007W	850693	NSE1	Essential subunit of the Mms21-Smc5-Smc6 complex; nuclear protein required for DNA repair and growth
YLR008C	850694	PAM18	J-protein co-chaperone of the mitochondrial import motor associated with the presequence translocase, with Ssc1p, Tim44p, Mge1p, and Pam16p; stimulates ATPase activity of Ssc1p to drive mitochondrial import; activity is inhibited by Pam16p
YLR009W	850695	RLP24	Essential protein with similarity to Rpl24Ap and Rpl24Bp, associated with pre-60S ribosomal subunits and required for ribosomal large subunit biogenesis
YLR010C	850696	TEN1	Protein that regulates telomeric length; protects telomeric ends in a complex with Cdc13p and Stn1p
TS(AGA)L	850697	TS(AGA)L	tRNA
YLR011W	850698	LOT6	FMN-dependent NAD(P)H:quinone reductase that may be involved in quinone detoxification; gene expression increases in cultures shifted to a lower temperature
YLR012C	850699	YLR012C	Putative protein of unknown function; YLR012C is not an essential gene
YLR013W	850700	GAT3	Gat3p
YLR014C	850701	PPR1	Ppr1p
YLR015W	850702	BRE2	Bre2p
YLR016C	850703	PML1	Pml1p
YLR017W	850704	MEU1	Methylthioadenosine phosphorylase (MTAP), catalyzes the initial step in the methionine salvage pathway; affects polyamine biosynthesis through regulation of ornithine decarboxylase (Spe1p) activity; regulates ADH2 gene expression
YLR018C	850705	POM34	Integral membrane protein of the nuclear pore; has an important role in maintaining the architecture of the pore complex
YLR019W	850706	PSR2	Functionally redundant Psr1p homolog, a plasma membrane phosphatase involved in the general stress response; required with Psr1p and Whi2p for full activation of STRE-mediated gene expression, possibly through dephosphorylation of Msn2p
YLR020C	850707	YEH2	Steryl ester hydrolase, catalyzes steryl ester hydrolysis at the plasma membrane; involved in sterol metabolism
YLR021W	850708	IRC25	Chaperone component involved in 20S proteasome assembly; forms a heterodimer with Poc4p; IRC25 is a non-essential gene; null mutant displays increased levels of spontaneous Rad52 foci
YLR022C	850709	SDO1	Essential protein involved in 60S ribosome maturation; ortholog of the human protein (SBDS) responsible for autosomal recessive Shwachman-Bodian-Diamond Syndrome; highly conserved across archae and eukaryotes
YLR023C	850710	IZH3	Izh3p
YLR024C	850711	UBR2	Cytoplasmic ubiquitin-protein ligase (E3)
YLR025W	850712	SNF7	One of four subunits of the endosomal sorting complex required for transport III (ESCRT-III); involved in the sorting of transmembrane proteins into the multivesicular body (MVB) pathway; recruited from the cytoplasm to endosomal membranes
YLR026C	850713	SED5	Sed5p
YLR027C	850714	AAT2	Aat2p
YLR028C	850715	ADE16	Ade16p
YLR029C	850716	RPL15A	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl15Bp and has similarity to rat L15 ribosomal protein; binds to 5.8 S rRNA
YLR030W	850717	YLR030W	Putative protein of unknown function
YLR031W	850718	YLR031W	Putative protein of unknown function
YLR032W	850719	RAD5	DNA helicase proposed to promote replication fork regression during postreplication repair by template switching; contains RING finger domain
YLR033W	850720	RSC58	Component of the RSC chromatin remodeling complex; RSC functions in transcriptional regulation and elongation, chromosome stability, and establishing sister chromatid cohesion; involved in telomere maintenance58KDa subunit
YLR034C	850721	SMF3	Putative divalent metal ion transporter involved in iron homeostasis; transcriptionally regulated by metal ions; member of the Nramp family of metal transport proteins
YLR035C	850722	MLH2	Mlh2p
TA(UGC)L	850723	TA(UGC)L	tRNA
YLR035C-A	850724	YLR035C-A	Retrotransposon TYA Gag and TYB Pol genes; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); YLR035C-A is part of a mutant retrotransposon
YLR036C	850725	YLR036C	Putative protein of unknown function predicted to have transmembrane domains; interacts with HSP90 by yeast two-hybrid analysis; YLR036C is not an essential protein
YLR037C	850726	DAN2	Cell wall mannoprotein with similarity to Tir1p, Tir2p, Tir3p, and Tir4p; expressed under anaerobic conditions, completely repressed during aerobic growth
YLR038C	850727	COX12	Cox12p
YLR039C	850728	RIC1	Protein involved in retrograde transport to the cis-Golgi network; forms heterodimer with Rgp1p that acts as a GTP exchange factor for Ypt6p; involved in transcription of rRNA and ribosomal protein genes
YLR040C	850730	YLR040C	Putative protein of unknown function; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W; YLR040C is not essential
YLR042C	850731	YLR042C	Protein of unknown function; localizes to the cytoplasm; YLL042C is not an essential gene
YLR043C	850732	TRX1	Cytoplasmic thioredoxin isoenzyme of the thioredoxin system which protects cells against oxidative and reductive stress, forms LMA1 complex with Pbi2p, acts as a cofactor for Tsa1p, required for ER-Golgi transport and vacuole inheritance
YLR044C	850733	PDC1	Major of three pyruvate decarboxylase isozymes, key enzyme in alcoholic fermentation, decarboxylates pyruvate to acetaldehyde; subject to glucose-, ethanol-, and autoregulation; involved in amino acid catabolism
YLR045C	850734	STU2	Microtubule-associated protein (MAP) of the XMAP215/Dis1 family; regulates microtubule dynamics during spindle orientation and metaphase chromosome alignment; interacts with spindle pole body component Spc72p
